ERN HOLDİNG İSTANBUL MERKEZ OFİSİ - Y005				
MARKA	MODEL	LOKASYON	SERİ NO	MAC ADRESİ	KAT
HPE Aruba	AP-615-RW	Kabinet AP 		3C:E8:6E:C7:A0:16	BODRUM KAT
HPE Aruba	AP-615-RW	Sağ Koridor 1		3C:E8:6E:C7:9F:52	BODRUM KAT
HPE Aruba	AP-615-RW	Sağ Koridor 2		3C:E8:6E:C7:B4:90	BODRUM KAT
HPE Aruba	AP-615-RW	Sağ Koridor 3		F0:1A:A0:AF:91:C9	BODRUM KAT
HPE Aruba	AP-615-RW	Sağ Koridor 4		3C:E8:6E:C7:B0:28	BODRUM KAT
HPE Aruba	AP-615-RW	Sol Koridor 1		D4:19:72:C5:4B:46	BODRUM KAT
HPE Aruba	AP-615-RW	Sol Koridor 2		D4:19:72:C5:44:D8	BODRUM KAT
HPE Aruba	AP-615-RW	Müdür Katı AP 1		D4:19:72:C5:45:60	MAKAM KATI
HPE Aruba	AP-615-RW	Müdür Katı AP 2		D4:19:72:C5:4E:B6	MAKAM KATI
HPE Aruba	AP-615-RW	Makam Katı Top. Odası		3C:E8:6E:C7:AE:74	MAKAM KATI
HPE Aruba	AP-615-RW	Makam Kat Koridor AP 1		3C:E8:6E:C7:A1:A6	MAKAM KATI
HPE Aruba	AP-615-RW	Makam Kat Koridor AP 2		3C:E8:6E:C7:AE:A2	MAKAM KATI
HPE Aruba	AP-615-RW	Patron Odası AP		3C:E8:6E:C7:AE:B6	MAKAM KATI
HPE Aruba	AP-615-RW	Kurumsal Kat AP 1		3C:E8:6E:C7:A7:8A	ZEMİN KAT
HPE Aruba	AP-615-RW	Kurumsal Kat AP 2		3C:E8:6E:C7:B4:22	ZEMİN KAT
HPE Aruba	AP-615-RW	Satış Ofisi AP 1		3C:E8:6E:C7:B0:96	ZEMİN KAT
HPE Aruba	AP-615-RW	Satış Ofisi AP 2		3C:E8:6E:C7:B1:54	ZEMİN KAT
HPE Aruba	AP-615-RW	Satış Ofisi AP 3		3C:E8:6E:C7:AA:DC	ZEMİN KAT
HPE Aruba	AP-615-RW	Satış Ofisi AP 4		3C:E8:6E:C7:AF:AA	ZEMİN KAT
HPE Aruba	AP-615-RW	Satış Ofisi AP 5		3C:E8:6E:C7:B0:6A	ZEMİN KAT
HPE Aruba	AP-615-RW		VNTSKZD0SD	D4:19:72:C5:4D:94	YEDEK
